"","estm","div","CI","CI_low","CI_high"
"kullback-leibler",1.05656190530283,0.172757766669328,0.95,0.35316645122315,0.98093488962337
"kullback-leibler1",1.10643690294912,0.19153971619863,0.95,0.364641548378181,0.98184559983094
"kullback-leibler2",0.95935957269553,0.139340111791147,0.95,0.33100062864727,0.978719709077249
"kullback-leibler3",1.14036690917412,0.204965376800412,0.95,0.372537895518453,0.9824406110782
"kullback-leibler4",1.19545167808846,0.00472088702768946,0.95,0.385501893361966,0.983366053797881
"kullback-leibler5",1.20645752936689,0.00528514335848048,0.95,0.388112334687193,0.983545124907276
"kullback-leibler6",1.07210897945345,0.000618417285049122,0.95,0.356726077756285,0.981223481628892
"kullback-leibler7",0.456185165955541,0.0283200162355391,0.95,0.215046122953422,0.943825386605146
"kullback-leibler8",2.90181922211317,0.121490306256387,0.95,0.778348514736465,0.997873047076323
"kullback-leibler9",2.82111550778552,0.0987977776526937,0.95,0.764113288865212,0.997694689524577
"kullback-leibler10",2.77407492214391,0.086798427446917,0.95,0.755529434149147,0.997583923553245
"kullback-leibler11",0.453194254619165,0.147066180299675,0.95,0.214541683563177,0.943666600737905
