"","est","div","CI","CI_low","CI_high"
"kullback-leibler",4.20456473874519,0.113690140094571,0.95,0.000999648225275235,0.999999916662248
"kullback-leibler1",4.76039579618026,0.139620531767633,0.95,0.000401377733666197,0.999999990339536
"kullback-leibler2",5.72514970562567,0.178526650253105,0.95,8.22990257850867e-05,0.999999999770566
"kullback-leibler3",10.7475862326562,0.297766068769228,0.95,2.14885374945069e-08,1
"kullback-leibler4",1.06477728676836,0.0620054369029861,0.95,0.106224211082326,0.890819213085131
"kullback-leibler5",1.20994402182597,0.0308236572025712,0.95,0.0757352743873267,0.909712376522834
"kullback-leibler6",1.79679070377481,0.000901894790629729,0.95,0.0365829028955378,0.981211987193418
"kullback-leibler7",2.44098248926787,0.0202471074562315,0.95,0.0176840549118265,0.999640715381321
"kullback-leibler8",1.12839197001584,0.00307226830992862,0.95,0.0884158646820088,0.896081271028756
"kullback-leibler9",1.28008296304944,0.00111116901351265,0.95,0.0661878686406285,0.920124757930751
"kullback-leibler10",7.21406997091252,0.010681107039007,0.95,7.13127507346292e-06,0.999999999999286
"kullback-leibler11",2.08551253279702,0.000933319560808623,0.95,0.0303093753312801,0.997563598478757
